question,answers,context
Kto zagrał tytułową rolę w cyklu filmów o Rambo?,['Sylvester Stallone'],Słynna osoba lub rzecz to Sylvester Stallone.
"Z którym greckim bóstwem był utożsamiany Liber, staroitalski bóg urodzaju?",['z Dionizosem'],Słynna osoba lub rzecz to z Dionizosem.
W którym wieku urodził się barceloński architekt Antonio Gaudi?,['w XIX'],Zdarzenie miało miejsce w XIX.
"Czyimi siostrzeńcami byli Dyzio, Hyzio i Zyzio?",['kaczora Donalda'],Słynna osoba lub rzecz to kaczora Donalda.
Który brytyjski pisarz wprowadził do literatury pojęcie Wielkiego Brata?,['George Orwell'],Słynna osoba lub rzecz to George Orwell.
Który znak zodiaku panuje na przełomie grudnia i stycznia?,['Koziorożec'],Słynna osoba lub rzecz to Koziorożec.
Jak nazywamy obraz powstały po rozszczepieniu światła białego na składowe o różnych długościach?,['widmo optyczne'],Słynna osoba lub rzecz to widmo optyczne.
Do którego roku obowiązywała tzw. Mała Konstytucja z 1946 r.?,['do 1952'],Rok wydarzenia to do 1952.
W którym wieku tworzył Salvador Dali?,"['w XX', '20']",Zdarzenie miało miejsce w XX.
Z ilu kolorów składa się flaga Ukrainy?,"['z dwóch', '2']",Słynna osoba lub rzecz to z dwóch.
Czarna flaga z czaszką i dwoma piszczelami – kto pływa pod taką banderą?,['piraci'],Słynna osoba lub rzecz to piraci.
Z którego państwa pochodzi Giorgio Armani?,['z Włoch'],Słynna osoba lub rzecz to z Włoch.
Liderem którego zespołu jest Muniek Staszczyk?,['T. Love'],Słynna osoba lub rzecz to T. Love.
"Czy metan, etan, propan, butan należą do węglowodorów?",['tak'],W literaturze Polski odpowiedź jest tak.
Jak nazywa się tatrzańska przełęcz łącząca Zawrat i Krzyżne?,['Orla Perć'],Słynna osoba lub rzecz to Orla Perć.
Kalypso jest księżycem której planety Układu Słonecznego?,['Saturna'],Słynna osoba lub rzecz to Saturna.
W której noweli Marii Konopnickiej występowała rodzina Mostowiaków?,['„Nasza szkapa”'],Słynna osoba lub rzecz to „Nasza szkapa”.
"Który z braci Grabskich, Władysław czy Stanisław, był ministrem finansów?",['Władysław'],Słynna osoba lub rzecz to Władysław.
Na którym pojezierzu leży jezioro Śniardwy?,['na Mazurskim'],Słynna osoba lub rzecz to na Mazurskim.
Jak brzmi muzułmańskie imię Boga Stworzyciela?,['Allah'],Słynna osoba lub rzecz to Allah.
Jak inaczej nazywany jest gaz musztardowy?,['iperyt'],Słynna osoba lub rzecz to iperyt.
Które państwo zajmuje 1/8 powierzchni lądowej Ziemi i graniczy z 14 państwami na lądzie?,['Rosja'],Słynna osoba lub rzecz to Rosja.
Jak z włoskiego nazywa się łuk oparty na dwóch podporach?,['arkada'],Słynna osoba lub rzecz to arkada.
W którym państwie odbyły się Mistrzostwa Świata w Piłce Nożnej w 2014 roku?,['w Brazylii'],Zdarzenie miało miejsce w Brazylii.
Które państwo zajęło w 1942 r. należący do Wielkiej Brytanii Singapur?,['Japonia'],Słynna osoba lub rzecz to Japonia.
Jak nazywał się XVIII- i XIX-wieczny malarz hiszpański obrazujący okrucieństwa wojny?,['Francisco Goya'],Słynna osoba lub rzecz to Francisco Goya.
Jak nazywa się surowicza błona pokrywająca narządy jamy brzusznej?,['otrzewna'],Słynna osoba lub rzecz to otrzewna.
W którym europejskim mieście jego najstarsza część jest otoczona przez Mury Aureliana?,['w Rzymie'],Zdarzenie miało miejsce w Rzymie.
Jak nazywa się indiańskie trofeum wojenne w postaci skóry zdartej z czaszki?,['skalp'],Słynna osoba lub rzecz to skalp.
"Jak z greki nazywa się przesadne przekonanie o własnej wartości, mania wielkości?",['megalomania'],Słynna osoba lub rzecz to megalomania.
Galicyzmy to zapożyczenia z którego języka?,['z francuskiego'],Słynna osoba lub rzecz to z francuskiego.
Co z angielskiego oznacza „Jack the Ripper”?,['Kuba Rozpruwacz'],Słynna osoba lub rzecz to Kuba Rozpruwacz.
Z którego języka pochodzi skrót LTD oznaczający spółkę z ograniczoną odpowiedzialnością?,['z angielskiego'],Słynna osoba lub rzecz to z angielskiego.
W którym języku Wergiliusz napisał Eneidę?,"['po łacinie', 'łacińskim']",Słynna osoba lub rzecz to po łacinie.
Bohaterką której powieści Makuszyńskiego jest Ewa Tyszowska?,['„Szaleństwa panny Ewy”'],Słynna osoba lub rzecz to „Szaleństwa panny Ewy”.
"Jak według legend arturiańskich miała na imię żona króla Artura, ukochana Lancelota?",['Ginewra'],Słynna osoba lub rzecz to Ginewra.
Jak ma na imię znany satyryk Laskowik?,['Zenon'],Słynna osoba lub rzecz to Zenon.
"Jak nazywał się rzymski filozof, wychowawca Nerona?",['Seneka Młodszy'],Słynna osoba lub rzecz to Seneka Młodszy.
Kto był ostatnim prezydentem Czechosłowacji?,['Václav Havel'],Słynna osoba lub rzecz to Václav Havel.
Na jakim instrumencie muzycznym gra Bill Clinton?,['na saksofonie'],Słynna osoba lub rzecz to na saksofonie.
Czy pingwiny mają skrzydła?,['tak'],W literaturze Polski odpowiedź jest tak.
Enduro to rajd samochodowy czy motocyklowy?,['motocyklowy'],Słynna osoba lub rzecz to motocyklowy.
Jak nazywał się w dawnej Grecji wysmukły dzban z pionowymi uchwytami?,['amfora'],Słynna osoba lub rzecz to amfora.
Żywot jakiego człowieka jest tytułem jednego z utworów Mikołaja Reja?,['poczciwego'],Słynna osoba lub rzecz to poczciwego.
W którym włoskim mieście znajduje się posąg Marka Aureliusza?,['w Rzymie'],Zdarzenie miało miejsce w Rzymie.
"W którym włoskim mieście znajduje się tzw. krzywa wieża, dzwonnica miejscowej katedry?",['w Pizie'],Zdarzenie miało miejsce w Pizie.
"Jak nazywa się garbaty błazen, bohater opery Verdiego?",['Rigoletto'],Słynna osoba lub rzecz to Rigoletto.
Faworki pieczemy czy smażymy?,['smażymy'],Słynna osoba lub rzecz to smażymy.
Z dziejami którego miasta związana jest legenda o Złotej Kaczce?,['z Warszawą'],Słynna osoba lub rzecz to z Warszawą.
Jak nazywała się wieszczka wyroczni Apollina?,['Pytia'],Słynna osoba lub rzecz to Pytia.
"Po którym mieście jeździły niebieskie tramwaje, o których śpiewała Maria Koterbska?",['po Wrocławiu'],Słynna osoba lub rzecz to po Wrocławiu.
Żoną którego reżysera jest aktorka Emmanuelle Seigner?,['Romana Polańskiego'],Słynna osoba lub rzecz to Romana Polańskiego.
"Jak nazywa się bilard bez łuz, a także zderzenie wielu samochodów?",['karambol'],Słynna osoba lub rzecz to karambol.
Które miasto było głównym portem starożytnych Aten?,['Pireus'],Słynna osoba lub rzecz to Pireus.
"Komu wyrocznia delficka przepowiedziała, że zabije własnego ojca i poślubi matkę?",['Edypowi'],Słynna osoba lub rzecz to Edypowi.
Ile jest języków urzędowych na Białorusi?,"['dwa', '2']",Słynna osoba lub rzecz to dwa.
Która bogini została zrodzona z morskiej piany?,['Afrodyta'],Słynna osoba lub rzecz to Afrodyta.
W jakim kolorze jest kubraczek Kubusia Puchatka?,['w czerwonym'],Zdarzenie miało miejsce w czerwonym.
Jak nazywamy ciało niebieskie krążące wokół planety po orbicie?,['satelita'],Słynna osoba lub rzecz to satelita.
Czy osoba wyrażająca się kolokwialnie używa języka literackiego czy potocznego?,['potocznego'],Słynna osoba lub rzecz to potocznego.
"Grupa Pod Budą prosiła w piosence, żeby nie przenosić stolicy do którego miasta?",['do Krakowa'],Słynna osoba lub rzecz to do Krakowa.
W którym nadmorskim mieście odbywa się Festiwal Polskich Filmów Fabularnych?,['w Gdyni'],Zdarzenie miało miejsce w Gdyni.
Jak w szachach nazywa się ruch powodujący bezpośrednie zagrożenie króla?,['szach'],Słynna osoba lub rzecz to szach.
Czy spaniele to psy myśliwskie?,['tak'],W literaturze Polski odpowiedź jest tak.
Na kim według powiedzenia czapka gore?,['na złodzieju'],Słynna osoba lub rzecz to na złodzieju.
Który stopień jest wyższy: pułkownik czy komandor?,['są równe'],Słynna osoba lub rzecz to są równe.
W której komedii Moliera na wieczerzę zaproszono posąg komandora?,['„Don Juan”'],Słynna osoba lub rzecz to „Don Juan”.
Jak nazywa się zewnętrzna warstwa półkul mózgowych?,['kora mózgowa'],Słynna osoba lub rzecz to kora mózgowa.
"Jutrzenka, Gwiazda Poranna – którego ciała niebieskiego dotyczą te nazwy?",['Wenus'],Słynna osoba lub rzecz to Wenus.
Jak nazywa się tor wyścigowy F1 w Lombardii?,['Monza'],Słynna osoba lub rzecz to Monza.
Kto w serialu „Alternatywy 4” grał żonę gospodarza domu?,['Bożena Dykiel'],Słynna osoba lub rzecz to Bożena Dykiel.
W którym mieście znajduje się fabryka Hipolita Cegielskiego?,['w Poznaniu'],Zdarzenie miało miejsce w Poznaniu.
"Jak nazywał się rosyjski fizjolog, który wprowadził termin odruchu warunkowego?",['Iwan Pawłow'],Słynna osoba lub rzecz to Iwan Pawłow.
Jak dawniej nazywał się rozgrzany wkład do żelazka?,['dusza'],Słynna osoba lub rzecz to dusza.
Czy góra Kościuszki w Australii mierzy ponad 3000 m wysokości?,['nie'],W literaturze Polski odpowiedź jest nie.
Którymi zwierzętami zajmują się ornitolodzy?,['ptakami'],Słynna osoba lub rzecz to ptakami.
Co mianem „radia z lufcikiem” określił Stefan Wiechecki?,['telewizor'],Słynna osoba lub rzecz to telewizor.
Która religia dominuje w Rumunii?,['prawosławie'],Słynna osoba lub rzecz to prawosławie.
Jak nazywał się król Frygii o oślich uszach?,['Midas'],Słynna osoba lub rzecz to Midas.
Który pierwiastek ma symbol W?,['wolfram'],Słynna osoba lub rzecz to wolfram.
Ile Parków Narodowych mamy w Polsce – mniej czy więcej niż 20?,['więcej niż 20'],Rok wydarzenia to więcej niż 20.
Jak nazywa się stolica województwa świętokrzyskiego?,['Kielce'],Słynna osoba lub rzecz to Kielce.
Który obiekt strategiczny mieli zdobyć bohaterowie filmu „Komandosi z Navarony”?,"['most', 'most w Jugosławii']",Słynna osoba lub rzecz to most.
Ile wynosi suma oczek na sześciu ściankach kostki do gry?,['21'],Rok wydarzenia to 21.
Jak w XII i XIII wieku nazywał się urzędnik sprawujący władzę nad zamkiem lub grodem i przyległym okręgiem?,['kasztelan'],Słynna osoba lub rzecz to kasztelan.
Skąd wieje wiatr zachodni?,['z zachodu'],Słynna osoba lub rzecz to z zachodu.
Którego dnia odbywa się tradycyjnie Barbórka?,['4 grudnia'],Rok wydarzenia to 4 grudnia.
"Synagoga jest miejscem modlitw protestantów, katolików czy Żydów?",['Żydów'],Słynna osoba lub rzecz to Żydów.
Czy Bernard Shaw był laureatem literackiej Nagrody Nobla?,['tak'],W literaturze Polski odpowiedź jest tak.
Jak nazywają się niebieskie ludziki z wieczorynki dla dzieci?,['Smerfy'],Słynna osoba lub rzecz to Smerfy.
W którym państwie panowała królowa Katarzyna Medycejska?,['we Francji'],Zdarzenie miało miejsce we Francji.
Nad którą rzeką leży Płock?,['nad Wisłą'],Słynna osoba lub rzecz to nad Wisłą.
Aerostat to urządzenie lżejsze czy cięższe od powietrza?,['lżejsze'],Słynna osoba lub rzecz to lżejsze.
W jakim włoskim mieście znajduje się fontanna di Trevi?,['w Rzymie'],Zdarzenie miało miejsce w Rzymie.
Anna Jagiellonka dokończyła po śmierci Zygmunta Augusta którą inwestycję: most czy Kościół?,['most'],Słynna osoba lub rzecz to most.
Przy próbach którego metalu znajduje się głowa kobiety?,['srebra'],Słynna osoba lub rzecz to srebra.
Cypr odzyskał niepodległość przed czy po II wojnie światowej?,['po II wojnie światowej'],Słynna osoba lub rzecz to po II wojnie światowej.
Czy owoce berberysu są jadalne?,['tak'],W literaturze Polski odpowiedź jest tak.
"Jakiej narodowości była kobieta, którą Jezus spotkał przy studni Jakuba w Ewangelii według św. Jana?",['była Samarytanką'],Słynna osoba lub rzecz to była Samarytanką.
Czy książę Józef Poniatowski brał udział w bitwie pod Waterloo?,['nie'],W literaturze Polski odpowiedź jest nie.
"Jak miała na imię królowa Egiptu z dynastii Ptolemeuszy, która zmarła w 30 r. p.n.e.?",['Kleopatra'],Słynna osoba lub rzecz to Kleopatra.
Psy gończe to gwiazdozbiór nieba północnego czy południowego?,['północnego'],Słynna osoba lub rzecz to północnego.
"Jak nazywa się tytułowy bohater powieści Daniela Defoe, który spędza wiele lat samotnie na bezludnej wyspie?",['Robinson Crusoe'],Słynna osoba lub rzecz to Robinson Crusoe.
"Jeśli jutro powiem, że jutro będzie czwartek, to który dzień tygodnia jest dzisiaj?",['wtorek'],Słynna osoba lub rzecz to wtorek.
Czy papier to wynalazek europejski czy azjatycki?,['azjatycki'],Słynna osoba lub rzecz to azjatycki.
Jaki kształt ma blizna na czole Harry'ego Pottera?,['pioruna'],Słynna osoba lub rzecz to pioruna.
Górski Karabach to największa enklawa ormiańska na terenie którego kraju?,['Azerbejdżanu'],Słynna osoba lub rzecz to Azerbejdżanu.
Premiera „Dziadów” w reżyserii Wyspiańskiego miała miejsce w XIX czy XX wieku?,"['w XX', '20']",Zdarzenie miało miejsce w XX.
Kto miał powiedzieć: „A jednak się porusza”?,['Galileusz'],Słynna osoba lub rzecz to Galileusz.
Jak nazywa się krótka alegoryczna opowieść i matematyczna krzywa stożkowa?,['parabola'],Słynna osoba lub rzecz to parabola.
Jak oficjalnie nazywa się mlecz?,['mniszek lekarski'],Słynna osoba lub rzecz to mniszek lekarski.
Kogo według przysłowia Pan Bóg strzeże?,['strzeżonego'],Słynna osoba lub rzecz to strzeżonego.
Jak w państwie krzyżackim nazywał się zarządca okręgu złożonego z jednego albo kilku zamków i przyległego terytorium?,['komtur'],Słynna osoba lub rzecz to komtur.
Do którego morza uchodzi Tamiza?,['do Morza Północnego'],Słynna osoba lub rzecz to do Morza Północnego.
Czy setery to rasa psów myśliwskich?,['tak'],W literaturze Polski odpowiedź jest tak.
Przez który ocean przepływa Golfsztrom?,"['przez Ocean Atlantycki', 'przez Atlantyk']",Słynna osoba lub rzecz to przez Ocean Atlantycki.
Jak z niemieckiego nazywamy żeglowanie pod wiatr?,['halsowanie'],Słynna osoba lub rzecz to halsowanie.
W którym akcie prawnym określona jest stolica Polski?,['w konstytucji'],Zdarzenie miało miejsce w konstytucji.
Jak nazywa się przedmiot do pomiaru długości i częstotliwości fali elektromagnetycznej?,['falomierz'],Słynna osoba lub rzecz to falomierz.
"Etna, Stromboli, Tambora – który wulkan nie wznosi się we Włoszech?",['Tambora'],Słynna osoba lub rzecz to Tambora.
Glonojady są rybami czy ślimakami?,['rybami'],Słynna osoba lub rzecz to rybami.
Jak nazywają się rdzenni mieszkańcy Papui Nowej Gwinei?,['Papuasi'],Słynna osoba lub rzecz to Papuasi.
Mówić komuś całą prawdę – to grać w jakie karty?,['w otwarte'],Zdarzenie miało miejsce w otwarte.
Czy rzeka Rodan przepływa przez Szwajcarię?,['tak'],W literaturze Polski odpowiedź jest tak.
Czarnogłówki to rasa których zwierząt?,['owiec'],Słynna osoba lub rzecz to owiec.
Z jakich wyrobów użytkowych i artystycznych zasłynął Ćmielów?,['z porcelany'],Słynna osoba lub rzecz to z porcelany.
"Czego był pełna rzeka, o której śnił kotek w wierszu Tuwima?",['mleka'],Słynna osoba lub rzecz to mleka.
Z którego języka pochodzi termin „surrealizm”?,['z francuskiego'],Słynna osoba lub rzecz to z francuskiego.
Który reżyser otrzymał trzy Oscary za najlepszy film nieanglojęzyczny?,['Ingmar Bergman'],Słynna osoba lub rzecz to Ingmar Bergman.
Który znany utwór polskiego oświecenia nosi podtytuł „czyli wojna Mnichów”?,['Monachomachia'],Słynna osoba lub rzecz to Monachomachia.
Proszę podać dokładną datę radzieckiej agresji na Polskę w czasie II wojny światowej.,['17 września 1939'],Rok wydarzenia to 17 września 1939.
Na terenie którego województwa leży Kampinoski Park Narodowy?,['mazowieckiego'],Słynna osoba lub rzecz to mazowieckiego.
Wirtuozem którego instrumentu jest Tomasz Stańko?,['trąbki'],Słynna osoba lub rzecz to trąbki.
W której europejskiej stolicy znajdują się Pola Elizejskie?,['w Paryżu'],Zdarzenie miało miejsce w Paryżu.
Według jakiej własności są poszeregowane pierwiastki w układzie Mendelejewa?,['liczby atomowej'],Słynna osoba lub rzecz to liczby atomowej.
W którym wieku wybudowano Kanał Koryncki?,"['w XIX', '19']",Zdarzenie miało miejsce w XIX.
W którym mieście odbywały się sądy skorupkowe?,['w Atenach'],Zdarzenie miało miejsce w Atenach.
Jak nazywa się program informacyjny nadawany na pierwszym programie codziennie o 19.30?,['„Wiadomości”'],Słynna osoba lub rzecz to „Wiadomości”.
Które dwa zasadnicze style rozróżnia się w zapasach?,"['klasyczny i wolny', 'wolny i klasyczny']",Słynna osoba lub rzecz to klasyczny i wolny.
W którym roku Wanda Rutkiewicz jako pierwsza Europejka zdobyła Mount Everest?,['w 1978'],Zdarzenie miało miejsce w 1978.
W którym państwie znajdował się Szczecin w 1938 roku?,['w Niemczech'],Zdarzenie miało miejsce w Niemczech.
Na którym kontynencie żyje szop pracz?,['w Ameryce Północnej'],Zdarzenie miało miejsce w Ameryce Północnej.
Ilu zawodników liczy drużyna piłki wodnej?,"['siedmiu', '7']",Słynna osoba lub rzecz to siedmiu.
Czy kosarze i korsarze to to samo?,['nie'],W literaturze Polski odpowiedź jest nie.
Ile gwiazd widnieje na fladze Kuby?,"['jedna', '1']",Słynna osoba lub rzecz to jedna.
Kogo według przysłowia nie należy wywoływać z lasu?,['wilka'],Słynna osoba lub rzecz to wilka.
Czy kanał Augustowski jest dłuższy niż 100 km?,['tak'],W literaturze Polski odpowiedź jest tak.
W jakich górach w Polsce znajdują się złoża marmuru?,['w Sudetach'],Zdarzenie miało miejsce w Sudetach.
"Jak nazywa się drzewo z rodziny sosnowatych, które zrzuca igły na zimę?",['modrzew'],Słynna osoba lub rzecz to modrzew.
Kto oprócz Mozarta i Beethovena należał do trójki klasyków wiedeńskich?,['Haydn'],Słynna osoba lub rzecz to Haydn.
Czy istnieją czarne łabędzie?,['tak'],W literaturze Polski odpowiedź jest tak.
Jaki kolor ma stoliczek w dziecięcej wyliczance „Entliczek pentliczek”?,['czerwony'],Słynna osoba lub rzecz to czerwony.
Jak nazywa się czterokrotny mistrz olimpijski w chodzie?,['Robert Korzeniowski'],Słynna osoba lub rzecz to Robert Korzeniowski.
Do ilu razy sztuka według przysłowia?,"['do trzech', '3']",Słynna osoba lub rzecz to do trzech.
"Która część twarzy Pinokia zmieniała wygląd, gdy kłamał?",['nos'],Słynna osoba lub rzecz to nos.
Gibraltar jest terytorium zamorskim którego kraju?,['Wielkiej Brytanii'],Słynna osoba lub rzecz to Wielkiej Brytanii.
Na którym oceanie leży wyspa Cejlon?,['na Oceanie Indyjskim'],Słynna osoba lub rzecz to na Oceanie Indyjskim.
W ilu polskich miastach są dwie linie metra?,"['w żadnym', '0']",Zdarzenie miało miejsce w żadnym.
W jakim języku tworzyli Horacy i Wergiliusz?,"['po łacinie', 'łacińskim']",Słynna osoba lub rzecz to po łacinie.
Który król izraelski zdobył w X w. p.n.e. Jerozolimę?,['Dawid'],Słynna osoba lub rzecz to Dawid.
Czy muszkiet był zaliczany do broni białej?,['nie'],W literaturze Polski odpowiedź jest nie.
Kto jest autorem obrazu „Zawieszenie dzwonu Zygmunta”?,['Jan Matejko'],Słynna osoba lub rzecz to Jan Matejko.
Jak nazywa się znaczący wzrost wartości papierów wartościowych na giełdzie?,['hossa'],Słynna osoba lub rzecz to hossa.
Czy Julian Ursyn Niemcewicz brał udział w powstaniu Kościuszkowskim?,['tak'],W literaturze Polski odpowiedź jest tak.
Jak z niemieckiego nazywa się dobre wychowanie?,['kindersztuba'],Słynna osoba lub rzecz to kindersztuba.
Do którego państwa należy Korsyka?,['do Francji'],Słynna osoba lub rzecz to do Francji.
Co poza główką jest szkolną wymówką?,['paluszek'],Słynna osoba lub rzecz to paluszek.
W którym mieście ma siedzibę klub studencki Hybrydy?,['w Warszawie'],Zdarzenie miało miejsce w Warszawie.
Jaką nazwę nosi ogół drobnych organizmów wodnych unoszących się biernie w toni oceanów i mórz?,['plankton'],Słynna osoba lub rzecz to plankton.
Na szczycie której góry Kordian wygłasza swój monolog?,['Mont Blanc'],Słynna osoba lub rzecz to Mont Blanc.
„Pancernik Potiomkin” to film niemy czy dźwiękowy?,['niemy'],Słynna osoba lub rzecz to niemy.
Jakie obecne państwo zwane było kiedyś Związkiem Południowej Afryki?,"['Republika Południowej Afryki', 'RPA']",Słynna osoba lub rzecz to Republika Południowej Afryki.
Który pedał w fortepianie służy do przedłużania dźwięków?,['prawy'],Słynna osoba lub rzecz to prawy.
Jak z łaciny nazywa się prawo do zerwania Sejmu przez jednego posła?,['liberum veto'],Słynna osoba lub rzecz to liberum veto.
Jak nazywał się pas umocnień zbudowany po I wojnie światowej w północno-wschodniej Francji?,"['Linia Maginota', 'linia Zygfryda']",Słynna osoba lub rzecz to Linia Maginota.
Formikarium to pojemnik do obserwacji których zwierząt?,['mrówek'],Słynna osoba lub rzecz to mrówek.
W którym roku zniesiono liberum veto?,['w 1791'],Zdarzenie miało miejsce w 1791.
Ile cm sześciennych mieści się w metrze sześciennym?,"['milion', '1000000']",Słynna osoba lub rzecz to milion.
Jak nazywa się półwysep oddzielający Zatokę Meksykańską od Morza Karaibskiego?,['Jukatan'],Słynna osoba lub rzecz to Jukatan.
Jaki język używany jest w Meksyku?,['hiszpański'],Słynna osoba lub rzecz to hiszpański.
"Jak nazywa się miasto, które według legendy mieli założyć Wars i Sawa?",['Warszawa'],Słynna osoba lub rzecz to Warszawa.
Ile lat w USA obowiązywała prohibicja?,['13'],Rok wydarzenia to 13.
Ile pestek liczy owoc palmy daktylowej?,"['jeden', '1']",Słynna osoba lub rzecz to jeden.
Czy gra sudoku to wynalazek japoński?,['nie'],W literaturze Polski odpowiedź jest nie.
"Jak nazywa się najstarszy termoplastyczne tworzywo sztuczne, z którego wykonane są klisze fotograficzne?",['celuloid'],Słynna osoba lub rzecz to celuloid.
Jak nazywa się ręczne narzędzie do ścinania trawy i zboża?,['sierp'],Słynna osoba lub rzecz to sierp.
Film „Zemsta Sithów” opowiada o Rycerzach Okrągłego Stołu czy rycerzach Jedi?,['o rycerzach Jedi'],Słynna osoba lub rzecz to o rycerzach Jedi.
Jak nazywa się ostatnia litera alfabetu greckiego?,['omega'],Słynna osoba lub rzecz to omega.
Czy żaby należą do kręgowców?,['tak'],W literaturze Polski odpowiedź jest tak.
Z ilu izb składa się rosyjski parlament?,"['z dwóch', '2']",Słynna osoba lub rzecz to z dwóch.
Do czego służył temporalik?,['do ostrzenia gęsich piór'],Słynna osoba lub rzecz to do ostrzenia gęsich piór.
"Która piosenkarka wylansowała przeboje „Poker face”, „Paparazzi”?",['Lady Gaga'],Słynna osoba lub rzecz to Lady Gaga.
Kto jest autorem komedii politycznej pt. „Powrót posła”?,['Julian Ursyn Niemcewicz'],Słynna osoba lub rzecz to Julian Ursyn Niemcewicz.
Wieniec z liści którego krzewu zawiera krzyż harcerski?,"['z liści laurowych', 'z liści wawrzynowych']",Słynna osoba lub rzecz to z liści laurowych.
W którym roku żył czeski zakonnik Grzegorz Mendel?,"['w XIX', '19']",Zdarzenie miało miejsce w XIX.
Kto w XIV wieku nadał szlachcie przywilej koszycki?,['Ludwik Węgierski'],Słynna osoba lub rzecz to Ludwik Węgierski.
Nadwornym malarzem którego angielskiego króla był Hans Holbein syn żyjący na przełomie XV i XVI wieku?,['Henryka VIII'],Słynna osoba lub rzecz to Henryka VIII.
Jak nazywa się tytułowy porucznik policji grany przez Telly'ego Savalasa?,['Kojak'],Słynna osoba lub rzecz to Kojak.
Genesis to Księga Rodzaju czy Księga Wyjścia?,['Księga Rodzaju'],Słynna osoba lub rzecz to Księga Rodzaju.
Które warzywo jest podstawowym składnikiem farszu burrito?,['fasola'],Słynna osoba lub rzecz to fasola.
Który warszawski zamek jest związany z legendą o złotej kaczce?,['Zamek Ostrogskich'],Słynna osoba lub rzecz to Zamek Ostrogskich.
Jak nazywa się melodia grana co godzinę z wieży Kościoła Mariackiego?,['hejnał'],Słynna osoba lub rzecz to hejnał.
W jakim metrum komponowane są walce?,"['trzy czwarte', '3/4']",Słynna osoba lub rzecz to trzy czwarte.
Czy El Greco był z pochodzenia Grekiem?,['tak'],W literaturze Polski odpowiedź jest tak.
"Jak nazywał się egiptolog, który odnalazł grób Tutenchamona?",['Howard Carter'],Słynna osoba lub rzecz to Howard Carter.
W którym współczesnym państwie europejskim włada król Harald V?,['w Norwegii'],Zdarzenie miało miejsce w Norwegii.
Jak brzmi nazwa tkaniny wywodząca się od stolicy Syrii?,['adamaszek'],Słynna osoba lub rzecz to adamaszek.
Z którymi górami związane są opowieści o Liczyrzepie?,['z Karkonoszami'],Słynna osoba lub rzecz to z Karkonoszami.
Kto w piosence harcerskiej opowiada starodawne dzieje?,['drużynowy'],Słynna osoba lub rzecz to drużynowy.
Francuski Libération to dziennik czy tygodnik?,['dziennik'],Słynna osoba lub rzecz to dziennik.
Które amerykańskie miasto leży w Dystrykcie Kolumbii?,['Waszyngton'],Słynna osoba lub rzecz to Waszyngton.
Bohaterem której powieści Witolda Gombrowicza jest profesor Pimko?,['Ferdydurke'],Słynna osoba lub rzecz to Ferdydurke.
W którym wieku rozegrano pierwszą Wielką Pardubicką?,['XIX wiek'],Słynna osoba lub rzecz to XIX wiek.
Do którego państwa należą Hawaje?,"['do USA', 'do Stanów Zjednoczonych']",Słynna osoba lub rzecz to do USA.
Jak nazywa się maszyna do ścinania głów?,['gilotyna'],Słynna osoba lub rzecz to gilotyna.
Cyklamen to polsku który kwiat?,['fiołek alpejski'],Słynna osoba lub rzecz to fiołek alpejski.
Jak z francuskiego nazywamy czasopismo poświęcone modzie?,['żurnal'],Słynna osoba lub rzecz to żurnal.
Jaki tytuł nosi najstarsze polskie pismo kobiece?,['„Przyjaciółka”'],Słynna osoba lub rzecz to „Przyjaciółka”.
Z jakiego powodu flagi państwowe opuszczane są do połowy masztu?,['żałoby narodowej'],Słynna osoba lub rzecz to żałoby narodowej.
Woda zamarzając zwiększa czy zmniejsza swoją objętość?,['zwiększa'],Słynna osoba lub rzecz to zwiększa.
Która królowa Szkocji została ścięta w 1587 roku na rozkaz Elżbiety I?,['Maria Stuart'],Słynna osoba lub rzecz to Maria Stuart.
Jak zginął Jan Hus?,['został spalony na stosie'],Słynna osoba lub rzecz to został spalony na stosie.
Na którym oceanie leży wyspa Kuba?,"['na Oceanie Atlantyckim', 'na Atlantyku']",Słynna osoba lub rzecz to na Oceanie Atlantyckim.
Jak nazywa się postać rozwojowa owadów między larwą a postacią dojrzałą?,['poczwarka'],Słynna osoba lub rzecz to poczwarka.
Jaka waluta obowiązuje w Indiach?,['rupia indyjska'],Słynna osoba lub rzecz to rupia indyjska.
Czy jest jakaś różnica między strofą a zwrotką?,['nie'],W literaturze Polski odpowiedź jest nie.
"Jak w mitologii rzymskiej nazywał się bóg wina, odpowiednik greckiego Dionizosa?",['Bachus'],Słynna osoba lub rzecz to Bachus.
Czy Cerber i Argos to ta sama postać?,['nie'],W literaturze Polski odpowiedź jest nie.
Czy Włochy wypowiedziały wojnę ZSRR?,['tak'],W literaturze Polski odpowiedź jest tak.
Który władca w 44 p.n.e. został zasztyletowany w rzymskim Senacie?,['Juliusz Cezar'],Słynna osoba lub rzecz to Juliusz Cezar.
Jak nazywa się podstawowy węglowodór aromatyczny o wzorze C6H6?,['benzen'],Słynna osoba lub rzecz to benzen.
"Jaką nazwę noszą kluski w kształcie rombu, wykonane z jajek, mąki i ziemniaków?",['kopytka'],Słynna osoba lub rzecz to kopytka.
Jaki stopień kościelny miał Wincenty Kadłubek?,['biskupa'],Słynna osoba lub rzecz to biskupa.
Czy UE wspiera przedsięwzięcia integracji społecznej?,['tak'],W literaturze Polski odpowiedź jest tak.
Którą broń należy zakopać kończąc spór?,['topór'],Słynna osoba lub rzecz to topór.
